"","Index","power","temperature","humidity","occupancy"
"47",2012-07-15 07:40:00,306.88,14.33,80.33,1
"48",2012-07-15 07:50:00,310.02,14.67,78.67,1
"49",2012-07-15 08:00:00,343.06,15,77,1
"50",2012-07-15 08:10:00,356.12,15,69,1
"51",2012-07-15 08:20:00,267.8,15,73,1
"52",2012-07-15 08:30:00,373.26,15,77,1
"53",2012-07-15 08:40:00,332.42,15.33,75.33,1
"54",2012-07-15 08:50:00,265.77,15.67,73.67,1
"55",2012-07-15 09:00:00,160.88,16,72,1
"56",2012-07-15 09:10:00,206.16,16,61,1
"57",2012-07-15 09:20:00,348.19,16.5,64.5,1
"58",2012-07-15 09:30:00,337.03,17,68,1
"59",2012-07-15 09:40:00,425.81,16.33,69.33,1
"60",2012-07-15 09:50:00,348.35,15.67,70.67,1
"61",2012-07-15 10:00:00,253.89,15,72,1
"62",2012-07-15 10:10:00,301.77,16,59,1
"63",2012-07-15 10:20:00,235.48,15.5,68,1
"64",2012-07-15 10:30:00,319.36,15,77,1
"65",2012-07-15 10:40:00,289.62,15,77,1
"66",2012-07-15 10:50:00,350.97,15,77,1
"67",2012-07-15 11:00:00,289.69,15,77,1
"68",2012-07-15 11:10:00,233.64,15.33,75.33,1
"69",2012-07-15 11:20:00,232.44,15.67,73.67,1
"70",2012-07-15 11:30:00,241.88,16,72,1
"71",2012-07-15 11:40:00,307.56,16.33,72,1
"72",2012-07-15 11:50:00,424.26,16.67,72,1
"73",2012-07-15 12:00:00,487.21,17,72,1
"74",2012-07-15 12:10:00,308.72,17,55,1
"75",2012-07-15 12:20:00,233.22,15.5,68.5,0
"76",2012-07-15 12:30:00,180.94,14,82,0
"77",2012-07-15 12:40:00,153.29,15,75.67,0
"78",2012-07-15 12:50:00,352.11,16,69.33,0
"79",2012-07-15 13:00:00,431.53,17,63,0
"80",2012-07-15 13:10:00,399.42,18,56,0
"81",2012-07-15 13:20:00,235.85,18.5,58,0
"82",2012-07-15 13:30:00,234.66,19,60,0
"83",2012-07-15 13:40:00,267.85,17.67,65.67,0
"84",2012-07-15 13:50:00,311.04,16.33,71.33,0
"85",2012-07-15 14:00:00,397.71,15,77,0
"86",2012-07-15 14:10:00,394.78,16,67,0
"87",2012-07-15 14:20:00,353.81,16,69.5,0
"88",2012-07-15 14:30:00,292.19,16,72,0
"89",2012-07-15 14:40:00,210.73,16,73.67,0
"90",2012-07-15 14:50:00,155.09,16,75.33,0
"91",2012-07-15 15:00:00,201.86,16,77,0
"92",2012-07-15 15:10:00,368.22,15,66,0
"93",2012-07-15 15:20:00,425.69,15.5,69,0
"94",2012-07-15 15:30:00,294.71,16,72,0
"95",2012-07-15 15:40:00,242.95,16.67,69.33,0
"96",2012-07-15 15:50:00,316.72,17.33,66.67,0
"97",2012-07-15 16:00:00,321.86,18,64,0
"98",2012-07-15 16:10:00,272.25,17,49,0
"99",2012-07-15 16:20:00,435.49,16.5,63,0
"100",2012-07-15 16:30:00,417.12,16,77,0
"101",2012-07-15 16:40:00,429.25,16.33,74,0
"102",2012-07-15 16:50:00,380.69,16.67,71,0
"103",2012-07-15 17:00:00,363.31,17,68,0
"104",2012-07-15 17:10:00,311.19,17,66.33,0
"105",2012-07-15 17:20:00,378.62,17,64.67,1
"106",2012-07-15 17:30:00,562.2,17,63,1
"107",2012-07-15 17:40:00,566.55,15.33,73.33,1
"108",2012-07-15 17:50:00,490.5,13.67,83.67,1
"109",2012-07-15 18:00:00,361.74,12,94,1
"110",2012-07-15 18:10:00,298.06,12,79,1
"111",2012-07-15 18:20:00,372.67,12,83.5,1
"112",2012-07-15 18:30:00,423.31,12,88,1
"113",2012-07-15 18:40:00,407.15,12,90,1
"114",2012-07-15 18:50:00,319.86,12,92,1
"115",2012-07-15 19:00:00,281.9,12,94,1
"116",2012-07-15 19:10:00,357.28,12,84,1
"117",2012-07-15 19:20:00,366.62,12.5,86,1
"118",2012-07-15 19:30:00,438.63,13,88,1
"119",2012-07-15 19:40:00,648.09,13,86,1
"120",2012-07-15 19:50:00,511.22,13,84,1
"121",2012-07-15 20:00:00,437.46,13,82,1
"122",2012-07-15 20:10:00,367.23,13,79,1
"123",2012-07-15 20:20:00,366.2,13,83.5,1
"124",2012-07-15 20:30:00,296.99,13,88,1
"125",2012-07-15 20:40:00,456.31,13,88,1
"126",2012-07-15 20:50:00,566.04,13,88,1
"127",2012-07-15 21:00:00,493.33,13,88,1
"128",2012-07-15 21:10:00,430.48,13,84,1
"129",2012-07-15 21:20:00,303.3,13,86,1
"130",2012-07-15 21:30:00,307.16,13,88,1
"131",2012-07-15 21:40:00,477.31,13,88,1
"132",2012-07-15 21:50:00,589.52,13,88,1
"133",2012-07-15 22:00:00,551.41,13,88,1
"134",2012-07-15 22:10:00,460.17,13,82,1
"135",2012-07-15 22:20:00,359.1,12.5,85,1
"136",2012-07-15 22:30:00,289.48,12,88,1
"137",2012-07-15 22:40:00,372.56,12,88,1
"138",2012-07-15 22:50:00,421.36,12,88,1
"139",2012-07-15 23:00:00,385.09,12,88,1
"140",2012-07-15 23:10:00,295.21,12,88,1
"141",2012-07-15 23:20:00,290.12,12,88,1
"142",2012-07-15 23:30:00,293.79,12,88,1
"143",2012-07-15 23:40:00,340.55,11.67,90,1
"144",2012-07-15 23:50:00,289.65,11.33,92,1
"145",2012-07-16 00:00:00,252.86,11,94,1
"146",2012-07-16 00:10:00,389.91,12,87,1
"147",2012-07-16 00:20:00,342.13,11.5,90.5,1
"148",2012-07-16 00:30:00,335.72,11,94,1
"149",2012-07-16 00:40:00,198.92,11,94,1
"150",2012-07-16 00:50:00,166.27,11,94,1
"151",2012-07-16 01:00:00,265.94,11,94,1
"152",2012-07-16 01:10:00,333.96,11,89,1
"153",2012-07-16 01:20:00,387.56,10.5,94.5,1
"154",2012-07-16 01:30:00,258.32,10,100,1
"155",2012-07-16 01:40:00,396.58,10,98,1
"156",2012-07-16 01:50:00,330.92,10,96,1
"157",2012-07-16 02:00:00,279.14,10,94,1
"158",2012-07-16 02:10:00,246.69,11,85,1
"159",2012-07-16 02:20:00,268.33,10.8,86.8,1
"160",2012-07-16 02:30:00,368.22,10.6,88.6,1
"161",2012-07-16 02:40:00,340.83,10.4,90.4,1
"162",2012-07-16 02:50:00,297.53,10.2,92.2,1
"163",2012-07-16 03:00:00,218.94,10,94,1
"164",2012-07-16 03:10:00,156.24,11,85,1
"165",2012-07-16 03:20:00,1949.91,10.5,89.5,1
"166",2012-07-16 03:30:00,4733.29,10,94,1
"167",2012-07-16 03:40:00,4782.71,10,94,1
"168",2012-07-16 03:50:00,4792.16,10,94,1
"169",2012-07-16 04:00:00,978.76,10,94,1
"170",2012-07-16 04:10:00,236.03,11,86,1
"171",2012-07-16 04:20:00,221.36,10.5,90,1
"172",2012-07-16 04:30:00,234.72,10,94,1
"173",2012-07-16 04:40:00,269.39,10.33,92,1
"174",2012-07-16 04:50:00,360.22,10.67,90,1
"175",2012-07-16 05:00:00,338.34,11,88,1
"176",2012-07-16 05:10:00,235.85,11,90,1
"177",2012-07-16 05:20:00,156.37,11,92,1
"178",2012-07-16 05:30:00,220.95,11,94,1
"179",2012-07-16 05:40:00,365.56,11,94,1
"180",2012-07-16 05:50:00,492.15,11,94,1
"181",2012-07-16 06:00:00,364.91,11,94,1
"182",2012-07-16 06:10:00,273.87,11,86,1
"183",2012-07-16 06:20:00,264.78,11,90,1
"184",2012-07-16 06:30:00,240.25,11,94,1
"185",2012-07-16 06:40:00,267.84,11.33,92,1
"186",2012-07-16 06:50:00,259.21,11.67,90,1
"187",2012-07-16 07:00:00,319.15,12,88,1
"188",2012-07-16 07:10:00,342.92,12,79,1
"189",2012-07-16 07:20:00,333.88,12,83.5,1
"190",2012-07-16 07:30:00,209.97,12,88,1
"191",2012-07-16 07:40:00,157.28,12,90,1
"192",2012-07-16 07:50:00,343.3,12,92,1
"193",2012-07-16 08:00:00,441.48,12,94,1
"194",2012-07-16 08:10:00,445.84,12,82,1
"195",2012-07-16 08:20:00,290.75,12.5,82,1
"196",2012-07-16 08:30:00,252.3,13,82,1
"197",2012-07-16 08:40:00,246.09,13,82,1
"198",2012-07-16 08:50:00,240.96,13,82,1
"199",2012-07-16 09:00:00,282.64,13,82,1
"200",2012-07-16 09:10:00,251.92,13,81,1
"201",2012-07-16 09:20:00,316.62,13,84.5,1
"202",2012-07-16 09:30:00,347.26,13,88,1
"203",2012-07-16 09:40:00,337.98,13.67,84.33,1
"204",2012-07-16 09:50:00,278.37,14.33,80.67,0
"205",2012-07-16 10:00:00,255.67,15,77,0
"206",2012-07-16 10:10:00,352.96,15,68,0
"207",2012-07-16 10:20:00,338.65,15.5,70,0
"208",2012-07-16 10:30:00,365.14,16,72,0
"209",2012-07-16 10:40:00,265.03,15.67,72,0
"210",2012-07-16 10:50:00,249.51,15.33,72,0
"211",2012-07-16 11:00:00,239.99,15,72,0
"212",2012-07-16 11:10:00,235.27,15.33,72,1
"213",2012-07-16 11:20:00,275.47,15.67,72,1
"214",2012-07-16 11:30:00,275.82,16,72,1
"215",2012-07-16 11:40:00,329.75,16.33,67.67,1
"216",2012-07-16 11:50:00,368.17,16.67,63.33,1
"217",2012-07-16 12:00:00,377.51,17,59,1
"218",2012-07-16 12:10:00,279.62,17,38,1
"219",2012-07-16 12:20:00,177.31,17.5,45,1
"220",2012-07-16 12:30:00,300.46,18,52,1
"221",2012-07-16 12:40:00,427.11,18,52,1
"222",2012-07-16 12:50:00,342.2,18,52,1
"223",2012-07-16 13:00:00,244.18,18,52,1
"224",2012-07-16 13:10:00,168.03,19,37,1
"225",2012-07-16 13:20:00,239.07,19,44.5,1
"226",2012-07-16 13:30:00,234.66,19,52,1
"227",2012-07-16 13:40:00,330.98,19,51,1
"228",2012-07-16 13:50:00,377.61,19,50,1
"229",2012-07-16 14:00:00,413.94,19,49,1
"230",2012-07-16 14:10:00,348.86,18,33,1
"231",2012-07-16 14:20:00,254.26,18.5,39.5,1
"232",2012-07-16 14:30:00,219.45,19,46,1
"233",2012-07-16 14:40:00,153.52,19.33,46,1
"234",2012-07-16 14:50:00,374.84,19.67,46,0
"235",2012-07-16 15:00:00,430.96,20,46,0
"236",2012-07-16 15:10:00,334.37,19,31,0
"237",2012-07-16 15:20:00,195.46,19,38.5,0
"238",2012-07-16 15:30:00,153.68,19,46,0
"239",2012-07-16 15:40:00,223,19.33,45,0
"240",2012-07-16 15:50:00,302.71,19.67,44,0
"241",2012-07-16 16:00:00,515.85,20,43,0
"242",2012-07-16 16:10:00,432.77,20,29,1
"243",2012-07-16 16:20:00,323.12,20,36,1
"244",2012-07-16 16:30:00,364.99,20,43,1
"245",2012-07-16 16:40:00,363.77,20,43,1
"246",2012-07-16 16:50:00,363.48,20,43,1
"247",2012-07-16 17:00:00,418.44,20,43,1
"248",2012-07-16 17:10:00,547.45,20.33,42,1
"249",2012-07-16 17:20:00,504.09,20.67,41,1
"250",2012-07-16 17:30:00,315.47,21,40,1
"251",2012-07-16 17:40:00,326.08,21,40,1
"252",2012-07-16 17:50:00,411.8,21,40,1
"253",2012-07-16 18:00:00,464.81,21,40,1
"254",2012-07-16 18:10:00,483.54,20,28,1
"255",2012-07-16 18:20:00,492.01,20,35.5,1
"256",2012-07-16 18:30:00,407.65,20,43,1
"257",2012-07-16 18:40:00,239.47,20,43,1
"258",2012-07-16 18:50:00,268.55,20,43,1
"259",2012-07-16 19:00:00,284.75,20,43,1
"260",2012-07-16 19:10:00,338.85,20,30,1
"261",2012-07-16 19:20:00,497.62,20,36.5,1
"262",2012-07-16 19:30:00,593.27,20,43,1
"263",2012-07-16 19:40:00,471.09,19.67,45,1
"264",2012-07-16 19:50:00,331.47,19.33,47,1
"265",2012-07-16 20:00:00,461.26,19,49,1
"266",2012-07-16 20:10:00,452.34,19,36,1
"267",2012-07-16 20:20:00,422.44,19,44,1
"268",2012-07-16 20:30:00,451.06,19,52,1
"269",2012-07-16 20:40:00,480.26,18.67,53.33,1
"270",2012-07-16 20:50:00,454.6,18.33,54.67,1
"271",2012-07-16 21:00:00,375.62,18,56,1
"272",2012-07-16 21:10:00,370.59,17,44,1
"273",2012-07-16 21:20:00,325.81,17,49.5,1
"274",2012-07-16 21:30:00,385.71,17,55,1
"275",2012-07-16 21:40:00,489.04,16.33,59,1
"276",2012-07-16 21:50:00,615.42,15.67,63,1
"277",2012-07-16 22:00:00,497.44,15,67,1
"278",2012-07-16 22:10:00,390.07,14,63,1
"279",2012-07-16 22:20:00,296.35,14,70,1
"280",2012-07-16 22:30:00,389.22,14,77,1
"281",2012-07-16 22:40:00,480.41,13.67,77,1
"282",2012-07-16 22:50:00,529.48,13.33,77,1
"283",2012-07-16 23:00:00,358.74,13,77,1
"284",2012-07-16 23:10:00,235.58,14,71,1
"285",2012-07-16 23:20:00,243.67,15,65,1
"286",2012-07-16 23:30:00,242.16,16,59,1
"287",2012-07-16 23:40:00,202.21,15,66.67,1
"288",2012-07-16 23:50:00,320.95,14,74.33,1
"289",2012-07-17 00:00:00,509.13,13,82,1
"290",2012-07-17 00:10:00,461.74,14,67,1
"291",2012-07-17 00:20:00,254.73,13.5,74.5,1
"292",2012-07-17 00:30:00,163.16,13,82,1
"293",2012-07-17 00:40:00,175.86,13,82,1
"294",2012-07-17 00:50:00,328.6,13,82,1
"295",2012-07-17 01:00:00,344.71,13,82,1
"296",2012-07-17 01:10:00,404.11,13,82,1
"297",2012-07-17 01:20:00,309.96,13,82,1
"298",2012-07-17 01:30:00,201.77,13,82,1
"299",2012-07-17 01:40:00,243.67,13.33,80.33,1
"300",2012-07-17 01:50:00,282.59,13.67,78.67,1
"301",2012-07-17 02:00:00,371.83,14,77,1
"302",2012-07-17 02:10:00,344.46,14,65,1
"303",2012-07-17 02:20:00,403.37,14.2,66.4,1
"304",2012-07-17 02:30:00,347.29,14.4,67.8,1
"305",2012-07-17 02:40:00,244.15,14.6,69.2,1
"306",2012-07-17 02:50:00,189.98,14.8,70.6,1
"307",2012-07-17 03:00:00,174.1,15,72,1
"308",2012-07-17 03:10:00,339.49,15,63,1
"309",2012-07-17 03:20:00,2012.67,15,67.5,1
"310",2012-07-17 03:30:00,4753.5,15,72,1
"311",2012-07-17 03:40:00,4613.69,15,72,1
"312",2012-07-17 03:50:00,4323.25,15,72,1
"313",2012-07-17 04:00:00,347.75,15,72,1
"314",2012-07-17 04:10:00,391.51,15,61,1
"315",2012-07-17 04:20:00,334.53,15,64,1
"316",2012-07-17 04:30:00,255.61,15,67,1
"317",2012-07-17 04:40:00,344.24,14.67,68.67,1
"318",2012-07-17 04:50:00,320.89,14.33,70.33,1
"319",2012-07-17 05:00:00,239.96,14,72,1
"320",2012-07-17 05:10:00,197.1,13.67,73.67,1
"321",2012-07-17 05:20:00,264.96,13.33,75.33,1
"322",2012-07-17 05:30:00,358.99,13,77,1
"323",2012-07-17 05:40:00,319.17,13.33,75.33,1
"324",2012-07-17 05:50:00,323.11,13.67,73.67,1
"325",2012-07-17 06:00:00,301.73,14,72,1
"326",2012-07-17 06:10:00,288.69,13,68,1
"327",2012-07-17 06:20:00,342.6,13,72.5,1
"328",2012-07-17 06:30:00,341.69,13,77,1
"329",2012-07-17 06:40:00,316.2,13.33,77,1
"330",2012-07-17 06:50:00,267.46,13.67,77,1
"331",2012-07-17 07:00:00,287.6,14,77,1
"332",2012-07-17 07:10:00,288.86,13,70,1
"333",2012-07-17 07:20:00,238.52,13.5,73.5,1
"334",2012-07-17 07:30:00,239.27,14,77,1
"335",2012-07-17 07:40:00,259.95,14.67,74,1
"336",2012-07-17 07:50:00,325.48,15.33,71,1
"337",2012-07-17 08:00:00,353.53,16,68,1
"338",2012-07-17 08:10:00,424.53,16,55,1
"339",2012-07-17 08:20:00,288.23,16.5,61.5,1
"340",2012-07-17 08:30:00,177.53,17,68,1
"341",2012-07-17 08:40:00,357.4,17.33,66.67,1
"342",2012-07-17 08:50:00,343.19,17.67,65.33,1
"343",2012-07-17 09:00:00,297.74,18,64,1
"344",2012-07-17 09:10:00,195.95,17,50,1
"345",2012-07-17 09:20:00,302.41,17.5,57,0
"346",2012-07-17 09:30:00,288.08,18,64,0
"347",2012-07-17 09:40:00,274.64,18.33,64,0
"348",2012-07-17 09:50:00,289.19,18.67,64,0
"349",2012-07-17 10:00:00,294.76,19,64,0
"350",2012-07-17 10:10:00,370.05,19,46,0
"351",2012-07-17 10:20:00,364.78,19.5,53,0
"352",2012-07-17 10:30:00,341.16,20,60,0
"353",2012-07-17 10:40:00,193.58,20,60,1
"354",2012-07-17 10:50:00,296.31,20,60,1
"355",2012-07-17 11:00:00,342.76,20,60,1
"356",2012-07-17 11:10:00,313.41,20,58.67,1
"357",2012-07-17 11:20:00,209.24,20,57.33,1
"358",2012-07-17 11:30:00,206.33,20,56,1
"359",2012-07-17 11:40:00,307.46,20.33,56,1
"360",2012-07-17 11:50:00,325.93,20.67,56,1
"361",2012-07-17 12:00:00,382.38,21,56,1
"362",2012-07-17 12:10:00,386.77,21,44,1
"363",2012-07-17 12:20:00,249.1,21,52,1
"364",2012-07-17 12:30:00,254.84,21,60,1
"365",2012-07-17 12:40:00,292.49,21.33,57.67,1
"366",2012-07-17 12:50:00,346.53,21.67,55.33,1
"367",2012-07-17 13:00:00,290.7,22,53,1
"368",2012-07-17 13:10:00,267.63,21.67,55.33,1
"369",2012-07-17 13:20:00,314.24,21.33,57.67,1
"370",2012-07-17 13:30:00,239.11,21,60,1
"371",2012-07-17 13:40:00,233.13,21.33,59,1
"372",2012-07-17 13:50:00,231.37,21.67,58,1
"373",2012-07-17 14:00:00,372.32,22,57,1
"374",2012-07-17 14:10:00,445.1,22,43,1
"375",2012-07-17 14:20:00,422.99,22,48,1
"376",2012-07-17 14:30:00,297.49,22,53,1
"377",2012-07-17 14:40:00,160.47,22,53,1
"378",2012-07-17 14:50:00,179.79,22,53,1
"379",2012-07-17 15:00:00,335.64,22,53,1
"380",2012-07-17 15:10:00,417.32,22,40,1
"381",2012-07-17 15:20:00,337.62,22.5,45,1
"382",2012-07-17 15:30:00,254.5,23,50,1
"383",2012-07-17 15:40:00,209.49,22.67,51,1
"384",2012-07-17 15:50:00,242.59,22.33,52,1
"385",2012-07-17 16:00:00,288.97,22,53,1
"386",2012-07-17 16:10:00,420.66,22,40,1
"387",2012-07-17 16:20:00,572.53,22.5,43.5,1
"388",2012-07-17 16:30:00,450.69,23,47,1
"389",2012-07-17 16:40:00,375.9,23,48,1
"390",2012-07-17 16:50:00,340.43,23,49,1
"391",2012-07-17 17:00:00,368.05,23,50,1
"392",2012-07-17 17:10:00,362.63,22.67,50,1
"393",2012-07-17 17:20:00,424.5,22.33,50,1
"394",2012-07-17 17:30:00,473.1,22,50,1
"395",2012-07-17 17:40:00,434.24,22,51,1
"396",2012-07-17 17:50:00,460.76,22,52,1
"397",2012-07-17 18:00:00,434.1,22,53,1
"398",2012-07-17 18:10:00,455.2,22,38,1
"399",2012-07-17 18:20:00,365.45,22,44,1
"400",2012-07-17 18:30:00,293.71,22,50,1
"401",2012-07-17 18:40:00,406.1,22,51,1
"402",2012-07-17 18:50:00,380.27,22,52,1
"403",2012-07-17 19:00:00,458.67,22,53,1
"404",2012-07-17 19:10:00,299.06,21,40,1
"405",2012-07-17 19:20:00,310.9,21,46.5,1
"406",2012-07-17 19:30:00,406.3,21,53,1
"407",2012-07-17 19:40:00,463.69,21,53,1
"408",2012-07-17 19:50:00,521.16,21,53,1
"409",2012-07-17 20:00:00,481.61,21,53,1
"410",2012-07-17 20:10:00,430.41,20,44,1
"411",2012-07-17 20:20:00,452.35,20,52,1
"412",2012-07-17 20:30:00,371.04,20,60,1
"413",2012-07-17 20:40:00,427.37,19.67,61.33,1
"414",2012-07-17 20:50:00,510.06,19.33,62.67,1
"415",2012-07-17 21:00:00,414.15,19,64,1
"416",2012-07-17 21:10:00,436.69,19,54,1
"417",2012-07-17 21:20:00,412.68,18.5,61,1
"418",2012-07-17 21:30:00,367.14,18,68,1
"419",2012-07-17 21:40:00,344.17,18,68,1
"420",2012-07-17 21:50:00,364.81,18,68,1
"421",2012-07-17 22:00:00,582.13,18,68,1
"422",2012-07-17 22:10:00,567.63,18,52,1
"423",2012-07-17 22:20:00,526.69,18,60,1
"424",2012-07-17 22:30:00,337.98,18,68,1
"425",2012-07-17 22:40:00,285.45,17.67,68,1
"426",2012-07-17 22:50:00,349.58,17.33,68,1
"427",2012-07-17 23:00:00,347.79,17,68,1
"428",2012-07-17 23:10:00,415.31,17.33,68,1
"429",2012-07-17 23:20:00,313.47,17.67,68,1
"430",2012-07-17 23:30:00,224.46,18,68,1
"431",2012-07-17 23:40:00,208.99,17.33,71,1
"432",2012-07-17 23:50:00,241.43,16.67,74,1
"433",2012-07-18 00:00:00,375.62,16,77,1
"434",2012-07-18 00:10:00,443.21,16,67,1
"435",2012-07-18 00:20:00,361.79,16,72,1
"436",2012-07-18 00:30:00,319.88,16,77,1
"437",2012-07-18 00:40:00,318.09,15.67,78.67,1
"438",2012-07-18 00:50:00,239.31,15.33,80.33,1
"439",2012-07-18 01:00:00,189.79,15,82,1
"440",2012-07-18 01:10:00,219.09,14,79,1
"441",2012-07-18 01:20:00,355.61,14.5,80.5,1
"442",2012-07-18 01:30:00,368.79,15,82,1
"443",2012-07-18 01:40:00,337.14,15,82,1
"444",2012-07-18 01:50:00,295.99,15,82,1
"445",2012-07-18 02:00:00,263.08,15,82,1
"446",2012-07-18 02:10:00,311.72,15,76,1
"447",2012-07-18 02:20:00,376.04,14.8,78.4,1
"448",2012-07-18 02:30:00,327.61,14.6,80.8,1
"449",2012-07-18 02:40:00,293.26,14.4,83.2,1
"450",2012-07-18 02:50:00,257.2,14.2,85.6,1
"451",2012-07-18 03:00:00,331.65,14,88,1
"452",2012-07-18 03:10:00,251.71,13,82,1
"453",2012-07-18 03:20:00,1928.71,13.5,85,1
"454",2012-07-18 03:30:00,4645.51,14,88,1
"455",2012-07-18 03:40:00,4600.19,13.67,90,1
"456",2012-07-18 03:50:00,4026.3,13.33,92,1
"457",2012-07-18 04:00:00,472.59,13,94,1
"458",2012-07-18 04:10:00,432.27,14,87,1
"459",2012-07-18 04:20:00,233.77,13.5,87.5,1
"460",2012-07-18 04:30:00,228.31,13,88,1
"461",2012-07-18 04:40:00,340.34,13,90,1
"462",2012-07-18 04:50:00,268.09,13,92,1
"463",2012-07-18 05:00:00,302.72,13,94,1
"464",2012-07-18 05:10:00,258.46,12.67,96,1
"465",2012-07-18 05:20:00,314.61,12.33,98,1
"466",2012-07-18 05:30:00,278.24,12,100,1
"467",2012-07-18 05:40:00,312.64,12,98,1
"468",2012-07-18 05:50:00,290.23,12,96,1
"469",2012-07-18 06:00:00,274.33,12,94,1
"470",2012-07-18 06:10:00,373.31,12,96,1
"471",2012-07-18 06:20:00,386.31,12,98,1
"472",2012-07-18 06:30:00,333.88,12,100,1
"473",2012-07-18 06:40:00,257.9,12.33,98,1
"474",2012-07-18 06:50:00,250.43,12.67,96,1
"475",2012-07-18 07:00:00,284,13,94,1
"476",2012-07-18 07:10:00,240.4,14,89,1
"477",2012-07-18 07:20:00,290.97,13.5,91.5,1
"478",2012-07-18 07:30:00,310.8,13,94,1
"479",2012-07-18 07:40:00,254.65,14,92,1
"480",2012-07-18 07:50:00,297.7,15,90,1
"481",2012-07-18 08:00:00,429.68,16,88,1
"482",2012-07-18 08:10:00,374.85,16,79,1
"483",2012-07-18 08:20:00,249.51,16.5,80.5,1
"484",2012-07-18 08:30:00,227.02,17,82,1
"485",2012-07-18 08:40:00,324.69,17.33,80.33,0
"486",2012-07-18 08:50:00,335,17.67,78.67,0
"487",2012-07-18 09:00:00,353.85,18,77,0
"488",2012-07-18 09:10:00,273.66,18,67,0
"489",2012-07-18 09:20:00,180.17,18.5,70,0
"490",2012-07-18 09:30:00,241.18,19,73,0
"491",2012-07-18 09:40:00,284.23,19.33,71.33,0
"492",2012-07-18 09:50:00,341.04,19.67,69.67,0
"493",2012-07-18 10:00:00,367.8,20,68,0
"494",2012-07-18 10:10:00,413.95,20,63,0
"495",2012-07-18 10:20:00,395.67,20.5,63.5,0
"496",2012-07-18 10:30:00,246.9,21,64,0
"497",2012-07-18 10:40:00,236.29,21.33,62.67,0
"498",2012-07-18 10:50:00,213.01,21.67,61.33,0
"499",2012-07-18 11:00:00,262.47,22,60,0
"500",2012-07-18 11:10:00,317.34,22,60,0
"501",2012-07-18 11:20:00,426.91,22,60,0
"502",2012-07-18 11:30:00,296.55,22,60,0
"503",2012-07-18 11:40:00,210.77,22.33,59,0
"504",2012-07-18 11:50:00,157.47,22.67,58,1
"505",2012-07-18 12:00:00,307.92,23,57,1
"506",2012-07-18 12:10:00,441.6,23,43,1
"507",2012-07-18 12:20:00,447,23.5,46.5,1
"508",2012-07-18 12:30:00,413.21,24,50,1
"509",2012-07-18 12:40:00,212.22,24,51,1
"510",2012-07-18 12:50:00,160.1,24,52,1
"511",2012-07-18 13:00:00,243.84,24,53,1
"512",2012-07-18 13:10:00,302.93,24,43,1
"513",2012-07-18 13:20:00,338.64,24,48,1
"514",2012-07-18 13:30:00,343.57,24,53,1
"515",2012-07-18 13:40:00,287.44,24.33,51,1
